Model,MSE (Train),R^2 (Train),MSE (Test),R^2 (Test)
Linear Regression,0.5142212676979183,0.46944154443037245,0.6011985861007432,0.4251569678423277
RANSAC Regression,0.681822168137178,0.296515840117866,0.6998297197082255,0.33084966037541885
Lasso Regression,0.5652166800634331,0.4168259703081486,0.6371552919456961,0.3907765446474357
Ridge Regression,0.5142212870626264,0.4694415244504334,0.6011848476676979,0.42517010400513877
ElasticNet Regression,0.5432996870059584,0.43943928235446217,0.617854357376093,0.4092313580950646
